metric	metric_value	metric_type
abox_axiom_count	0	single_value
abox_axiom_count_incl	0	single_value
annotation_property_count	38	single_value
annotation_property_count_incl	38	single_value
axiom_count	5504	single_value
axiom_count_incl	5504	single_value
class_count	236	single_value
class_count_incl	236	single_value
dataproperty_count	0	single_value
dataproperty_count_incl	0	single_value
datatypes_count	2	single_value
datatypes_count_incl	2	single_value
individual_count	0	single_value
individual_count_incl	0	single_value
logical_axiom_count	828	single_value
logical_axiom_count_incl	828	single_value
obj_property_count	49	single_value
obj_property_count_incl	49	single_value
ontology_anno_count	0	single_value
ontology_id	http://purl.obolibrary.org/obo/uberon.owl	single_value
owl2	true	single_value
owl2_dl	true	single_value
owl2_el	false	single_value
owl2_ql	false	single_value
owl2_rl	false	single_value
rbox_axiom_count	56	single_value
rbox_axiom_count_incl	56	single_value
rdfs	false	single_value
rule_count	0	single_value
rule_count_incl	0	single_value
signature_entity_count	325	single_value
signature_entity_count_incl	325	single_value
tbox_axiom_count	772	single_value
tbox_axiom_count_incl	772	single_value
tboxrbox_axiom_count	828	single_value
tboxrbox_axiom_count_incl	828	single_value
