CURIE,LABEL,SubClass Of
GO:0005622,intracellular,cell part
GO:0044424,intracellular part,cell part|part of some intracellular
GO:0005623,cell,cellular_component
GO:0031974,membrane-enclosed lumen,cellular_component
GO:0043226,organelle,cellular_component
GO:0044464,cell part,cellular_component|part of some cell
GO:0044422,organelle part,cellular_component|part of some organelle
GO:0005634,nucleus,intracellular membrane-bounded organelle
GO:0031981,nuclear lumen,intracellular organelle lumen|nuclear part|part of some nucleus
GO:0070013,intracellular organelle lumen,intracellular organelle part|organelle lumen|part of some intracellular organelle
GO:0044428,nuclear part,intracellular organelle part|part of some nucleus
GO:0043231,intracellular membrane-bounded organelle,intracellular organelle|membrane-bounded organelle
GO:0044446,intracellular organelle part,intracellular part|organelle part|part of some intracellular|part of some intracellular organelle|part of some organelle
GO:0043229,intracellular organelle,intracellular part|organelle|part of some intracellular
GO:0043233,organelle lumen,membrane-enclosed lumen|organelle part|part of some organelle
GO:0043227,membrane-bounded organelle,organelle
GO:0005575,cellular_component,
