ID,LABEL,SubClass Of [NAMED],SubClass Of [ANON],SubClass Of [ANY]
GO:0005575,cellular_component,,,
GO:0005622,intracellular,cell part,,cell part
GO:0005623,cell,cellular_component,,cellular_component
GO:0005634,nucleus,intracellular membrane-bounded organelle,,intracellular membrane-bounded organelle
GO:0031974,membrane-enclosed lumen,cellular_component,,cellular_component
GO:0031981,nuclear lumen,intracellular organelle lumen|nuclear part,BFO:0000050 some nucleus,BFO:0000050 some nucleus|intracellular organelle lumen|nuclear part
GO:0043226,organelle,cellular_component,,cellular_component
GO:0043227,membrane-bounded organelle,organelle,,organelle
GO:0043229,intracellular organelle,intracellular part|organelle,BFO:0000050 some intracellular,BFO:0000050 some intracellular|intracellular part|organelle
GO:0043231,intracellular membrane-bounded organelle,intracellular organelle|membrane-bounded organelle,,intracellular organelle|membrane-bounded organelle
GO:0043233,organelle lumen,membrane-enclosed lumen|organelle part,BFO:0000050 some organelle,BFO:0000050 some organelle|membrane-enclosed lumen|organelle part
GO:0044422,organelle part,cellular_component,BFO:0000050 some organelle,BFO:0000050 some organelle|cellular_component
GO:0044424,intracellular part,cell part,BFO:0000050 some intracellular,BFO:0000050 some intracellular|cell part
GO:0044428,nuclear part,intracellular organelle part,BFO:0000050 some nucleus,BFO:0000050 some nucleus|intracellular organelle part
GO:0044446,intracellular organelle part,intracellular part|organelle part,BFO:0000050 some 'intracellular organelle'|BFO:0000050 some intracellular|BFO:0000050 some organelle,BFO:0000050 some 'intracellular organelle'|BFO:0000050 some intracellular|BFO:0000050 some organelle|intracellular part|organelle part
GO:0044464,cell part,cellular_component,BFO:0000050 some cell,BFO:0000050 some cell|cellular_component
GO:0070013,intracellular organelle lumen,intracellular organelle part|organelle lumen,BFO:0000050 some 'intracellular organelle',BFO:0000050 some 'intracellular organelle'|intracellular organelle part|organelle lumen
